앨범ID,곡명,재생시간,가사
0,Birthday,03:36,"['1 2 3 지금부턴 다 surprise', 'a to z 너를 위한 이 순간', 'just today 뭐든 해도 되니까', 'r to v 우릴 따라와 봐 come on', '들뜨는 기분에 완벽한 날씨까지', ""let's get lit!"", 'feel so high oh my gosh', '전부 선물 같지', 'dumb dumb 날뛰는 기분이야', '오늘 하룬 마치 diamonds', 'i got i got i got a special day', '시작해 another chance', '달콤한 ice cream cake', '또다시 네게 건네', '너의 heart beat check swag check', '지금 날 보며 떨리는 네 눈빛 check', 'make your day', '두 손을 꼭 모은 채로 뭐든 상상해 봐', '눈앞에', '네가 원한 모든 걸 다 보여주고 싶어', ""it's my day and your day"", ""it's a party party"", '불꽃아 타올라 어서 빨리빨리', '오늘 밤 we rock the world', 'yeah just rock the world', 'i can make the beat go', 'bam bam ba ra bam ba ram ba ra', '바로 오늘이야', ""it's your birthday birthday"", 'bam bam ba ra bam ba ram ba ra', '온 세상이 shine and so icy icy', 'birthday birthday 딱 지금이야', 'party pop pop the champagne', 'wow pop pop the champagne', '우리 맘대로 이뤄지지', '더 꿈꾸고 바래 bi-bi-bi-birthday', 'look 어딜 봐도 그저 행복해져 난', 'with you 눈부시게 펼쳐지는', '환상 같은 view', '자꾸 입꼬리가 올라가', '모든 게 완벽해 ok', '눈뜨면 이 모든 게', '사라져도 어때', '두 눈을 맞춘다면', '매일이 또 birthday', 'somethin kinda crazy', '너도 느껴지지', '내 말이 다 맞지', 'believe me kiss me', ""it's your day"", '두 손을 꼭 모은 채로 계속 상상해 봐', 'everyday all day', '너에게만 주고 싶어 이건 very special', ""it's my day and your day"", ""it's a party party"", '불꽃아 타올라 어서 빨리빨리', '오늘 밤 we rock the world', 'i can make the beat go', 'bam bam ba ra bam ba ram ba ra', '바로 오늘이야', ""it's your birthday birthday"", 'bam bam ba ra bam ba ram ba ra', '온 세상이 shine and so icy icy', 'birthday birthday 딱 지금이야', 'party pop pop the champagne', 'wow pop pop the champagne', '우리 맘대로 이뤄지지', '더 꿈꾸고 바래 birthday party', 'bam yeah yeah', 'i can make the beat go beat go', 'bounce', 'get it on get it on bam yeah yeah', 'get it on get it on', 'get it on get it on', 'we can make the beat go', 'ba ra bam bam ba ra', 'bam ba ram ba ra ', '바로 오늘이야', ""it's your birthday birthday"", 'bam bam ba ra bam ba ram ba ra', '온 세상이 shine and so icy icy', 'birthday birthday 딱 지금이야', 'party pop pop the champagne', 'wow pop pop the champagne', '우리 맘대로 이뤄지지', '더 꿈꾸고 바래 birthday party']"
0,BYE BYE,03:16,"['bye bye bye bye bye bye bye', 'bye bye bye bye bye bye bye', 'i only had love for you', 'i only had love for you', '외치듯 내뱉어도', '넌 세상에 so damn cool', '꿈속에서도 눈물 났던', 'happy end', '허우적대며 잠을 깨면', '가슴이 훅 패여 아파', 'too bad too bad 참 안타까워', '너는 다른 곳을 보네', 'i tried i cried enough', '정말 우린 break up', '뻔한 drama처럼', '우린 dumb dumb', '흔해빠진 얘기', 'never ending story', '넌 다가오고 밀려나고', '때론 타올랐고', '내 사랑이기에 i get it get it', '난 특별하기에 무너질 수 없기에', '온 힘을 다해 난 이 사랑을 끝내', '널 버릴 거야', 'bye bye', '너 땜에 휘둘렸던 시간 ok', '난 두 번 말 안 해', 'bye 안녕 babe ', '불장난 같은 사랑 다신 안 해', ""i'm not gonna play the fool"", 'bye bye love', 'time is overdue', '너에겐 흔한 déjà vu', '뭐랄까 재미없는 loop', '난 이만 빠져줄게 eh', 'too bad too bad', '넌 달랐다니 언제부터니', '신파 같은 소릴 하고', '이젠 다 질렸어 그만할래', 'you were my destiny', '내 세상은 upside down', '강해져 커져 now i see', '너인 줄만 알던 내 미래 너머', '미지로 가득한 문', '더 환히 열려있었다는 걸', 'bye bye', '너 땜에 휘둘렸던 시간 ok', '난 두 번 말 안 해', 'bye 안녕 babe ', '불장난 같은 사랑 다신 안 해', ""i'm not gonna play the fool"", 'bye bye love', '너와 난 그냥 mistake인 거야', '우연의 장난 그뿐인 거야', '내가 더 울 거란 생각 마', 'i got no heartache heartache', 'so baby baby now bye bye', '그 눈물을 닦아', '말해봐 안녕', 'bye bye', '너 땜에 휘둘렸던 시간 ok', '난 두 번 말 안 해', 'bye 안녕 babe', '불장난 같은 사랑 다신 안 해', ""i'm not gonna play the fool"", 'bye bye bye bye love', '환상은 여기까지', '너 땜에 휘둘렸던 시간 ok', '난 두 번 말 안 해', 'bye 안녕 babe', '불장난 같은 사랑 다신 안 해', 'bye bye bye']"
0,롤러코스터 (On A Ride),03:19,"['da da la da da', 'da da la da da', 'da da la da da', '요란스러운 day night', '너와 함께 있으면', 'feel like playing in the theme park', '쿵쿵대는 맘이 종일 가라앉질 않지', 'up and down 어디로든 날아다니는', '특별한 기분 start calling it love', '달콤한 눈빛 그 위로 riding', '멈출 수 없지 na na na na', '위아래로 아무 경계 없이', '타고 놀 거야', '단단히 맘먹고 왔거든', 'oops we are on a ride', 'yeah 꽉 잡아 hold me tight', '점점 더 커지는 thrill', '가까워지잖아 you and me ', ' ', '매일이 우리만의 season yeah', 'oops 지금 올라타', '네 맘 위 어디든지 끝없이', 'round and round like a dream', 'oops we are on a ride', 'tempo를 늦춰 slow', '다시 긴장감 조여 nah', '터지는 sound 분위길 twist', '우린 단 1초도 지루한 건 no no', '춤추는 시곗바늘은 quick', '좀 더 멀리까지 just go go', '새로운 문 너머 falling in love', ""숨 돌릴 틈 없이 we're having fun"", 'more and more', '이름 모를 꿈을 꾸는 듯', '웃게 돼 with you ha ha ha ha ha ha', '불꽃이 환히 터지는 timing', '놓칠 수 없지 na na na na', 'go on and on', '까만 밤이 우릴 쫓아온대도', '더 멀리 더 빨리 we can move', 'oops we are on a ride', 'yeah 꽉 잡아 hold me tight', '점점 더 커지는 thrill', '가까워지잖아 you and me ', '매일이 우리만의 season yeah', 'oops 지금 올라타', '네 맘 위 어디든지 끝없이', 'round and round like a dream', 'oops we are on a ride', '네 안에 take me', '새롭게 느껴지는 vibe ', 'ah ah ah yeah', 'oops we are on a ride', '온 세상이 우리를 반겨 ', '밤이 새도록 그 어디든', ""we're going higher"", ' ', 'oops we are on a ride', 'yeah 꽉 잡아 hold me tight', '온종일 저 구름 위', '끝없이 떠올라 you and me', '계속될 우리만의 season yeah', 'oops 지금 올라타', '함께면 어디든지 끝없이', 'round and round like a dream', 'oops we are on a ride', 'da da la da da you and i', 'da da la da da', 'da da la da da', '꽉 잡아 hold me tight', 'da da la da da', 'da da la da da', 'da da la da da', 'oops we are on a ride']"
0,ZOOM,03:04,"['why are you lying?', 'tired man..', 'come on', '단서 하나 당황하던 너의 표정', '하나만 더 걸려봐라', '절대 못 피해가', ""you're in my frame "", '쉽지 않을 거야', 'well 마치 난 cctv를', '다 되돌려보듯이', '샅샅이 찾아내려 해', '네 변명 속의 truth', 'watch out 사실 꽤나', '집요해 난', '밤새 replay', '너는 so loud', '내 귓가를 맴돌아', 'your lies your lies', '화만 내는 너를 보며', '난 더 심증을 굳힌 뒤', '되감아보는 memory', '푹 빠져서 늘 놓쳤던', '네 눈빛의 빈틈을 난', 'zoom zoom zoom', '오락가락 횡설수설해', '네가 깨트린 alibi', '달콤해서 늘 삼켰던', '네 말속의 허점을 난', 'zoom zoom zoom', 'remember remember', 'remember remember', 'remember remember', 'remember remember', '의심스러운 장면 앞에 멈춰 선 발걸음', '그 기억에 성큼 내디뎌보는 한 걸음', '네 손짓을 따라가 네 표정을 쫓아가', '헤집어 찾아낸 증거', ""guess what i got 'em"", '난 날카로운 police', '넌 허술했던 범인', 'watch out', '보기보다 철저해 난', '밤새 replay', '잠도 못 자', '모든 흔적을 찾아', 'your lies your lies', '화만 내는 너를 보며', '난 더 심증을 굳힌 뒤', '되감아보는 memory', '푹 빠져서 늘 놓쳤던', '네 눈빛의 빈틈을 난', 'zoom zoom zoom', '오락가락 횡설수설해', '네가 깨트린 alibi', '달콤해서 늘 삼켰던', '네 말속의 허점을 난', 'zoom zoom zoom', 'hey hey hey hey', '당겨 zoom zoom zoom', 'hey hey hey hey', '찾아 zoom zoom zoom ', '밤새 replay', '울고 웃다', '전부 믿고 싶게 한', 'your lies your lies', '화만 내는 너를 보며', '난 더 심증을 굳힌 뒤', '되감아보는 memory', '푹 빠져서 늘 놓쳤던', '네 눈빛의 빈틈을 난', 'zoom zoom zoom', '오락가락 횡설수설해', '네가 깨트린 alibi', '달콤해서 늘 삼켰던', '네 말속의 허점을 난', 'zoom zoom zoom', 'remember remember', 'remember remember ', '당겨 zoom zoom zoom', 'remember remember', 'remember remember', '찾아 zoom zoom zoom']"
0,Celebrate,02:44,"['아무 일도 없는 듯이', '눈을 감아 초를 불지', '매일 너와 함께 있고 싶은', '맘을 녹인', '너는 모를 나의 비밀', 'party가 막을 내려', '난 조금 더 있고 싶어', '가는 시간이 아쉬운걸', ""it's your birthday"", '너와 터트리던 champagne', '온통 달콤하던 this cake', '처음처럼 난 celebrate', 'back in the day', '눈치채지도 못하게', '초가 타기 전 네 옆에', '다시 돌아가 celebrate', '반대로 된 시침같이', '나 혼자만 또 시간을 되감지', '빠져드는 sweetness', '다시 봐도 난 설레지', '황홀한 feeling', '잊지 못할 everything', '모두가 멈추면 난', '다시 너의 곁으로 가', '환히 웃으며 눈을 맞춰', ""it's your birthday"", '너와 터트리던 champagne', '온통 달콤하던 this cake', '처음처럼 난 celebrate', 'back in the day', '눈치채지도 못하게', '초가 타기 전 네 옆에', '다시 돌아가 celebrate', '영원하고 싶은 맘 꿈같은 이런 밤', '재촉하듯 시곈 끝을 향해 가', 'back in the day', '아쉬워지는 마음에', '멈춰 세워 난 turning back', '다시 시작해 celebrate', '일렁인 두 눈에 서로를 담아봐', ""we'll celebrate through the night"", '똑같은 장면도 새로워 you and i', ""we'll celebrate and cross the time"", ""it's your birthday"", '너로 가득한 everyday', '돌고 돌아 난 네 곁에', '다시 함께 해 celebrate', 'back in the day', '모든 순간이 소중해', '나만 아는 이 기억에', '진심을 다해 celebrate', '영원하고 싶은 맘 꿈같은 이런 밤', '재촉하듯 시곈 끝을 향해 가', 'back in the day', '아쉬워지는 마음에', '멈춰 세워 난 turning back', '다시 시작해 celebrate']"
1,Happy Hour,03:32,"['welcome to my place', '이 멜로디를 따라 찾아와', ""i've been waiting for how amazing it is"", '숨을 꾹 참고', '견뎌왔던 날들은 잠시 내려 둬', 'from now on', '어떤 말을 전할까', '너를 위한 그 한마디', '그저 사랑한다고 말하고 싶어', '나 그토록 바라왔던 순간에 빠져', ""it's wonderful"", 'oh 널 이 마법 같은 공간으로 이끌어', '추억들은 별자리처럼', ""let's dance 완벽해 이제"", '더 큰소리로 너를 부를게 lalallalla', '이 시간이 지나도', '우린 영원히 함께 할 거야', ""it's our dream sweet melody"", 'all day 힘든 하루 끝에 늘 네가 생각나', 'just you and i', '빛이 내리면 별처럼 쏟아지던 너의 사랑을', 'remember you', '시곗바늘을 멈춰', '우리의 이 순간이', '다신 멈추지 않게 이 손 놓지 마', '나 그토록 바라왔던 순간에 빠져', ""it's wonderful"", 'oh 널 이 마법 같은 공간으로 이끌어', '추억들은 별자리처럼', ""let's dance 완벽해 이제"", '더 큰소리로 너를 부를 게 lalallalla', '이 시간이 지나도', '우린 영원히 함께 할 거야', ""it's our dream sweet melody"", '찰나 같았던 순간', '작은 기억들 놓지 않을게', ""we'll never say goodbye"", '다음에 또 만나 ', 'always in my heart', '나 이렇게 바라왔던 순간에 이제', ""it's time to say"", 'oh 날 또 하루를 견디게 했던 그 약속이', '찬란했던 추억 속으로', 'miss u, i love u', '이제 더 큰소리로 너를 부를게 lalallalla', '이 시간이 지나도', '우린 영원히 함께 할 거야', ""it's our dream sweet melody""]"
1,WHEN I MOVE,02:58,"[""i'm standing on the edge"", '난 가장 높은 곳에서', 'everything is upside down', '두렵지 않아 break it down', '당당히 서 있어 with my toes', 'everybody listen up now', 'no 더 이상은', ""no turnin' back"", ""no turnin' back"", ""no turnin' back"", ""no don't be scared"", '아슬하게 아찔하게', '두 손을 펼쳐 ', 'up in the air', 'up in the air ', 'up in the air', '망설이지 마 뭐 어때', 'when i move', '너의 body를 흔들어봐', 'when i move', 'when i move', ""더 자유롭게 breakin' all the rules"", 'when i move', '리듬에 맡겨 느낀 그대로', '이런 move 나의 move', 'oh when i move', ""oh what's the problem"", '점점 빠져드는 이 공간의 flow', '나조차도 어림잡지 못해 out of my control', '홀린 듯 몸을 맡겨 이 끌림이 싫진 않잖아', '그치? 나를 따라 너를 던져봐', 'no 더 이상은 ', ""no turnin' back"", ""no turnin' back "", ""no turnin' back"", ""no don't be scared"", '아슬하게 아찔하게', '두 손을 펼쳐', 'up in the air', 'up in the air', 'up in the air', '망설이지 마 we just dance', 'when i move', '너의 body를 흔들어봐', 'when i move', 'when i move', ""더 자유롭게 breakin' all the rules"", 'when i move', '리듬에 맡겨 느낀 그대로', '이런 move 나의 move', 'oh when i move', '다시 move again', 'we waited 4 this time', '아찔하게 흔들어 roller coaster ride', '아스팔트에서 피운 꽃 strong survive', '춤춰봐 더 자유롭게 미쳐봐', 'shake your body, bounce your body', '왔어 우리에게 너무 좋은 날이', 'move your body 들려 내 말이', '네가 원했던 이 순간이', '멈추지 마 계속 on my way', ""i'll never look back oh baby"", '움츠렸던 마음을 녹여', '어제의 너를 잊어', 'moving on baby', 'when i move', '너의 body를 흔들어봐 ', 'when i move', 'when i move', ""더 자유롭게 breakin' all the rules"", 'when i move', '리듬에 맡겨 느낀 그대로', '이런 move 나의 move', 'oh when i move', 'when i move', '끝까지 손을 뻗어', 'when i move', 'when i move', ""we goin' higher breakin' all the rules"", 'watch me move', '널 사로잡은 우리만의 move', 'when i move', 'when i move', 'oh when i move']"
1,Shout It Out,03:19,"['색다르게 hello', 'around the world', '새로운 내일의 문을 두드려', '반짝이는 green light', 'perfect sign', '준비됐다면 ready set go', '흩날리는 champagne 색의 confetti', '두 눈앞에 펼쳐진 순간', '시작해 party tonight', '우리만의 축제를 begin', 'everybody shout it out', 'shout it shout it out', '눈부시게 빛날 오늘 밤을', '더 크게 shout it out', 'shout it shout it out', '터질 듯한 심장 소리 so real', 'turn it up so high high', 'everybody go shout it shout it out', ""let's go shout it shout it out"", 'flying to the sky high high', '우리들의 never ending tonight', ""let's go shout it out"", 'yeah, shout it out girls', '따분한 건 no no', '재미없어 fun fun 하게', '더 원해 attention, tension, level up', '내 마음대로 느낌 가는 대로', '있는 모습 그대로 keep shining on', '펼쳐지는 panorama 속 spotlight', '감출 수 없어 난 born this way', '화려한 la fiesta', '환상적인 축제를 right here', 'everybody shout it out', 'shout it shout it out', '눈부시게 빛날 오늘 밤을', '더 크게 shout it out', 'shout it shout it out', '터질 듯한 심장 소리 so real', ""let's go shout it out"", '새벽을 넘어 더 빛날 거야', '한순간도 멈출 수 없어', 'raise your voice', '한 번 더 yeah', 'nothing can hold us down', 'everybody shout it out', 'shout it shout it out', '눈부시게 빛날 오늘 밤을', '더 크게 shout it out', 'shout it shout it out', '터질 듯한 심장 소리 so real', 'turn it up so high high', 'everybody go shout it shout it out', ""let's go shout it shout it out"", 'flying to the sky high high', '우리들의 never ending tonight', ""let's go shout it out"", 'yeah, shout it out girls', ""let's go shout it out""]"
1,Oxygen,03:40,"['나 홀로 헤매던 어두웠던 지난날', '너무도 낯설고 두려웠기만 했던 그날', '이제서야 너에게 말하고 싶어', '많이 겁이 났었어', '절벽에 끝에서 아슬하게 서 있어', '따뜻한 바람에 햇살처럼 다시 피어나', '보이지는 않아도 느낄 수 있으니까', 'i need your breath 필요해', '낯선 공기가 내 안에 들어와', '나를 휘감아 가슴속 깊게 퍼져가', '네가 없는 난 하루도 살 수가 없는데', 'baby, i need your breath 필요해', '수없이 빛났던 꿈만 같던 시간 속에', '끝을 알 수 없는 이야기만 가득할 뿐이야', '말해주지 않아도 느낄 수 있으니까', 'i need your breath 필요해', '낯선 공기가 내 안에 들어와', '나를 휘감아 가슴속 깊게 퍼져가', '네가 없는 난 하루도 살 수가 없는데', 'baby, i need your breath 필요해', '많이 힘들었지 괜찮아 이제', '내가 한 걸음 먼저 가 네 손잡을 게', '조금은 기대 숨 쉬어도 돼 내게 그랬듯이', '너의 아픔도 안아줄게', '숨을 쉬어봐 가득 찬 숨들이', '우리를 휘감아 가슴속 깊게 퍼져가', '네가 없는 난 하루도 살 수가 없는데', 'baby, i need your breath 필요해', 'baby, i need your breath 필요해']"
2,Attention,02:58,"['you and me', '내 맘이 보이지', '한참을 쳐다봐', '가까이 다가가', 'you see', 'you see, ey ey ey ey', 'one, two, three', '용기가 생겼지', '이미 아는 네 눈치', '고개를 돌려 천천히', '여기', 'you see', '여기 보이니', 'looking for attention 나야겠어', '확실하게 나로 만들겠어', 'stop, eyyy', 'drop the question', 'drop the, drop the question', 'want attention', 'wanna want attention', 'you give me butterflies you know', '내 맘은 온통 paradise', '꿈에서 깨워주지 마', 'you got me looking for attention', 'you got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'got me looking for attention', '널 우연히 마주친 척할래', '못 본 척 지나갈래', 'you’re so fine', 'gotta gotta get to know ya', '나와 나와 걸어가 줘', '지금 돌아서면', 'i need ya, need ya, need ya', 'to look at me back', 'hey 다 들켰었나', '널 보면 하트가 튀어나와', '난 사탕을 찾는 baby baby', '내 맘은 설레지', 'eyyy, drop the question', 'drop the, drop the question', 'want attention', 'wanna want attention', 'you give me butterflies you know', '내 맘은 온통 paradise', '꿈에서 깨워주지 마', 'you got me looking for attention', 'you got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'got me looking for attention', 'you got me looking for attention', 'you got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'got me looking for attention', 'a t t e n t i on', 'attention is what i want', 'a t t e n t i on', 'attention is what i want', 'a t t e n t i on', 'attention is what i want', 'a t t e n t i on', 'you got me looking for attention']"
